city,cloudiness,country,date,humidity,lat,lng,max_Temp,wind_Speed
krasnyy chikoy,100,RU,09-01-2019,65,50.36,108.75,15.35,1.89
acoua,20,YT,09-01-2019,83,-12.72,45.06,25.0,3.6
road town,40,VG,09-01-2019,66,18.42,-64.62,31.0,3.1
miranda,52,BR,09-01-2019,41,-20.24,-56.38,30.95,2.84
mandalgovi,38,MN,09-01-2019,23,45.76,106.27,18.95,4.49
palana,41,RU,09-01-2019,92,59.08,159.95,9.55,0.56
mpika,0,ZM,09-01-2019,29,-11.84,31.4,20.65,2.17
alamogordo,40,US,09-01-2019,27,32.9,-105.96,32.0,2.6
hervey bay,0,AU,09-01-2019,93,-25.3,152.85,12.22,1.5
jacareacanga,39,BR,09-01-2019,31,-6.22,-57.76,35.95,0.52
oistins,40,BB,09-01-2019,66,13.07,-59.53,31.0,5.7
barrow,82,AR,09-01-2019,50,-38.31,-60.23,9.95,5.91
acari,1,BR,09-01-2019,25,-6.44,-36.64,35.65,4.79
grindavik,20,IS,09-01-2019,76,63.84,-22.43,9.0,5.1
araouane,28,ML,09-01-2019,16,18.9,-3.53,40.15,3.12
east london,20,ZA,09-01-2019,77,-33.02,27.91,15.0,2.6
nouadhibou,0,MR,09-01-2019,85,20.93,-17.03,22.35,3.01
lere,92,TD,09-01-2019,95,9.66,14.23,22.45,0.54
lagos,75,NG,09-01-2019,88,6.46,3.39,26.0,4.6
lorengau,97,PG,09-01-2019,90,-2.02,147.27,24.95,4.74
viedma,1,AR,09-01-2019,40,-40.81,-62.99,10.35,4.54
rock sound,100,BS,09-01-2019,73,24.9,-76.2,29.65,14.36
flinders,40,AU,09-01-2019,54,-34.58,150.85,13.33,3.6
half moon bay,40,US,09-01-2019,82,37.46,-122.43,31.11,5.7
berlevag,3,NO,09-01-2019,86,70.86,29.09,12.55,5.69
atasu,67,KZ,09-01-2019,33,48.68,71.64,12.75,4.17
upernavik,1,GL,09-01-2019,77,72.79,-56.15,6.45,4.73
clyde river,20,CA,09-01-2019,75,70.47,-68.59,7.0,6.2
hithadhoo,100,MV,09-01-2019,78,-0.6,73.08,28.45,5.18
kodiak,75,US,09-01-2019,69,39.95,-94.76,26.11,2.75
vanimo,73,PG,09-01-2019,79,-2.67,141.3,26.45,4.04
icatu,0,BR,09-01-2019,62,-2.77,-44.05,31.0,6.2
kruisfontein,0,ZA,09-01-2019,88,-34.0,24.73,12.95,6.01
lata,100,IN,09-01-2019,97,30.78,78.62,5.95,0.45
guerrero negro,0,MX,09-01-2019,84,27.97,-114.04,21.55,0.86
luena,67,AO,09-01-2019,29,-11.78,19.91,25.85,1.92
bambous virieux,20,MU,09-01-2019,77,-20.34,57.76,20.56,2.6
pinega,72,RU,09-01-2019,93,64.7,43.39,11.65,0.36
hasaki,40,JP,09-01-2019,100,35.73,140.83,23.0,1.52
chokurdakh,99,RU,09-01-2019,57,70.62,147.9,6.15,2.73
sitka,54,US,09-01-2019,68,37.17,-99.65,28.89,4.92
saint george,20,GR,09-01-2019,41,39.45,22.34,26.67,3.6
abnub,0,EG,09-01-2019,33,27.27,31.15,31.0,2.6
zverinogolovskoye,79,RU,09-01-2019,88,54.46,64.85,7.15,2.11
makakilo city,20,US,09-01-2019,62,21.35,-158.09,31.0,4.1
kalangala,20,UG,09-01-2019,83,-0.32,32.29,22.0,2.1
nome,1,US,09-01-2019,41,30.04,-94.42,35.0,4.6
saint-pierre,0,FR,09-01-2019,52,48.95,4.24,19.0,3.1
sao filipe,100,CV,09-01-2019,82,14.9,-24.5,26.75,3.1
vila franca do campo,20,PT,09-01-2019,64,37.72,-25.43,21.67,6.2
shizunai,67,JP,09-01-2019,77,42.33,142.37,17.15,1.94
northam,90,AU,09-01-2019,87,-31.65,116.67,11.0,3.1
vestmannaeyjar,0,IS,09-01-2019,66,63.44,-20.27,11.0,7.7
bargur,100,IN,09-01-2019,76,12.54,78.35,22.95,6.83
narsaq,100,GL,09-01-2019,66,60.91,-46.05,10.0,2.6
bilma,21,NE,09-01-2019,20,18.69,12.92,37.25,1.32
broome,0,GB,09-01-2019,55,52.47,1.45,17.22,3.1
pacific grove,1,US,09-01-2019,30,36.62,-121.92,33.33,3.1
katherine,37,AU,09-01-2019,54,-14.47,132.26,14.0,0.5
kabalo,83,CD,09-01-2019,40,-6.05,26.92,29.55,1.37
gusau,100,NG,09-01-2019,77,12.17,6.66,26.25,2.26
gotsu,100,JP,09-01-2019,86,35.01,132.22,23.05,1.78
murgab,40,TM,09-01-2019,35,37.5,61.97,23.0,2.1
sinnamary,21,GF,09-01-2019,77,5.38,-52.96,27.65,7.7
muros,75,ES,09-01-2019,72,42.77,-9.06,20.56,5.1
casablanca,20,MA,09-01-2019,78,33.6,-7.62,26.0,5.1
omboue,53,GA,09-01-2019,88,-1.57,9.26,23.85,7.49
bredasdorp,0,ZA,09-01-2019,58,-34.53,20.04,15.0,6.2
huarmey,69,PE,09-01-2019,90,-10.07,-78.15,15.55,4.6
moerai,100,PF,09-01-2019,60,-22.43,-151.33,20.05,5.21
eureka,1,US,09-01-2019,77,40.8,-124.16,21.67,6.7
rawson,17,AR,09-01-2019,27,-43.3,-65.11,11.55,6.5
uruzgan,0,AF,09-01-2019,28,32.93,66.63,12.05,0.24
cocobeach,40,GA,09-01-2019,83,1.01,9.58,26.0,4.6
prince rupert,90,CA,09-01-2019,93,54.32,-130.32,15.0,1.5
airai,78,TL,09-01-2019,60,-8.93,125.41,18.25,2.02
ambalavao,50,MG,09-01-2019,66,-21.83,46.94,18.25,1.98
iqaluit,90,CA,09-01-2019,87,63.75,-68.52,8.0,4.1
gondanglegi,80,ID,09-01-2019,94,-7.75,112.01,20.55,3.8
biak,72,ID,09-01-2019,95,-0.91,122.88,14.35,2.6
hooglede,9,BE,09-01-2019,59,50.98,3.08,17.22,4.6
kaoma,36,ZM,09-01-2019,26,-14.8,24.8,22.65,0.91
mixco,2,GT,09-01-2019,74,14.63,-90.61,24.35,2.43
saint anthony,1,US,09-01-2019,17,43.97,-111.68,31.11,2.1
pochutla,40,MX,09-01-2019,49,15.74,-96.47,34.44,4.1
katangli,80,RU,09-01-2019,94,51.71,143.23,11.15,3.43
camacha,75,PT,09-01-2019,56,33.08,-16.33,23.0,5.1
iquique,90,CL,09-01-2019,67,-20.22,-70.14,17.0,4.6
alice springs,0,AU,09-01-2019,19,-23.7,133.88,9.0,3.72
namibe,77,AO,09-01-2019,87,-15.19,12.15,18.45,5.17
mount gambier,1,AU,09-01-2019,100,-37.83,140.78,4.0,2.6
willowmore,0,ZA,09-01-2019,69,-33.3,23.49,10.95,2.79
souillac,0,FR,09-01-2019,46,45.6,-0.6,21.0,2.6
